Time, gx1, gy1, gz1, gx2, gy2, gz2, ax1, ay1, az1, ax2, ay2, az2
588, 1.61, 1.20, 0.44, 3.72, 2.03, 1.50, -0.04, -1.01, 0.03, -0.02, -1.01, 0.04, 
594, 1.48, 1.12, 0.74, 3.24, 1.65, 1.79, -0.04, -1.01, 0.03, -0.02, -1.01, 0.04, 
602, 1.70, 1.02, 0.74, 3.73, 1.56, 1.37, -0.04, -1.00, 0.03, -0.02, -1.01, 0.04, 
609, 1.87, 0.66, 0.76, 4.09, 1.91, 1.41, -0.04, -1.00, 0.04, -0.02, -1.01, 0.04, 
617, 1.53, 0.70, 0.80, 3.47, 1.53, 1.25, -0.04, -1.01, 0.03, -0.02, -1.01, 0.04, 
624, 1.64, 0.70, 1.02, 4.19, 1.97, 1.29, -0.04, -1.02, 0.03, -0.02, -1.02, 0.04, 
630, 1.79, 0.81, 0.83, 3.92, 2.09, 1.18, -0.04, -1.02, 0.03, -0.02, -1.02, 0.03, 
638, 1.62, 1.09, 0.94, 4.24, 1.87, 1.14, -0.04, -1.03, 0.04, -0.02, -1.03, 0.03, 
645, 1.79, 0.88, 0.98, 3.71, 1.94, 1.18, -0.04, -1.04, 0.03, -0.02, -1.04, 0.03, 
653, 1.77, 0.77, 1.10, 3.93, 2.01, 1.15, -0.04, -1.04, 0.03, -0.02, -1.04, 0.03, 
660, 1.82, 0.80, 1.18, 3.40, 1.80, 1.00, -0.04, -1.04, 0.04, -0.02, -1.04, 0.02, 
666, 1.92, 0.60, 1.19, 3.66, 1.82, 0.97, -0.04, -1.04, 0.03, -0.02, -1.05, 0.02, 
674, 2.00, 0.94, 1.18, 3.43, 1.72, 0.92, -0.04, -1.06, 0.04, -0.02, -1.05, 0.02, 
681, 1.99, 1.09, 1.20, 3.82, 1.79, 0.75, -0.04, -1.05, 0.03, -0.02, -1.05, 0.02, 
689, 1.78, 1.10, 1.35, 3.22, 1.75, 0.69, -0.04, -1.05, 0.03, -0.02, -1.05, 0.02, 
696, 2.08, 0.86, 1.30, 3.18, 1.69, 0.83, -0.04, -1.04, 0.03, -0.02, -1.05, 0.03, 
702, 1.93, 0.82, 1.25, 2.74, 1.61, 0.77, -0.04, -1.04, 0.03, -0.02, -1.04, 0.03, 
710, 1.79, 0.87, 1.30, 2.80, 1.74, 0.60, -0.04, -1.03, 0.03, -0.02, -1.03, 0.04, 
717, 1.89, 1.05, 1.31, 3.04, 1.78, 0.64, -0.04, -1.01, 0.03, -0.02, -1.01, 0.04, 
725, 1.69, 0.71, 1.33, 2.89, 1.70, 0.88, -0.04, -1.00, 0.03, -0.03, -1.00, 0.05, 
732, 1.64, 0.88, 1.19, 3.50, 1.65, 0.53, -0.04, -1.00, 0.03, -0.03, -1.00, 0.05, 
738, 1.58, 0.87, 1.12, 3.30, 1.81, 0.96, -0.04, -1.00, 0.03, -0.03, -1.00, 0.05, 
747, 1.51, 0.78, 1.10, 3.39, 1.74, 0.91, -0.04, -1.00, 0.03, -0.03, -1.00, 0.04, 
753, 1.41, 0.85, 1.16, 3.83, 2.05, 1.07, -0.03, -1.01, 0.03, -0.02, -1.02, 0.04, 
761, 1.30, 0.73, 1.01, 3.98, 1.89, 0.88, -0.04, -1.02, 0.03, -0.03, -1.03, 0.04, 
768, 1.67, 0.89, 0.91, 3.61, 2.14, 1.14, -0.03, -1.04, 0.03, -0.02, -1.04, 0.04, 
774, 1.48, 0.83, 1.03, 3.91, 1.90, 1.09, -0.04, -1.04, 0.03, -0.03, -1.04, 0.03, 
783, 1.53, 0.79, 0.94, 3.80, 1.65, 1.15, -0.03, -1.04, 0.03, -0.02, -1.04, 0.03, 
789, 1.62, 0.49, 0.48, 3.62, 1.79, 1.10, -0.04, -1.04, 0.04, -0.02, -1.04, 0.03, 
797, 1.32, 0.78, 0.75, 3.33, 1.99, 1.30, -0.04, -1.04, 0.04, -0.03, -1.04, 0.02, 
803, 1.65, 0.78, 0.72, 3.71, 2.01, 1.14, -0.04, -1.04, 0.04, -0.02, -1.04, 0.02, 
811, 1.60, 1.11, 0.72, 3.55, 1.78, 1.18, -0.04, -1.04, 0.04, -0.02, -1.04, 0.02, 
819, 1.71, 1.29, 0.35, 3.61, 1.90, 1.22, -0.03, -1.04, 0.04, -0.02, -1.04, 0.02, 
825, 2.07, 0.89, 0.51, 3.68, 1.91, 1.25, -0.04, -1.04, 0.04, -0.02, -1.05, 0.03, 
833, 2.02, 0.90, 0.34, 3.84, 1.93, 1.22, -0.04, -1.04, 0.04, -0.02, -1.05, 0.03, 
839, 1.80, 0.96, 0.25, 3.59, 1.86, 1.10, -0.04, -1.04, 0.03, -0.02, -1.04, 0.03, 
847, 1.79, 0.99, 0.34, 3.42, 1.85, 1.32, -0.04, -1.03, 0.03, -0.02, -1.03, 0.03, 
855, 1.91, 0.99, 0.57, 3.26, 1.69, 0.98, -0.04, -1.02, 0.03, -0.02, -1.02, 0.04, 
861, 1.76, 1.09, 0.39, 2.94, 1.77, 1.18, -0.04, -1.01, 0.03, -0.03, -1.01, 0.04, 
869, 1.57, 0.53, 0.45, 3.20, 1.87, 1.24, -0.04, -1.00, 0.03, -0.02, -1.00, 0.04, 
875, 1.96, 1.01, 0.52, 3.01, 1.71, 1.35, -0.04, -1.00, 0.03, -0.03, -1.00, 0.04, 
883, 2.18, 1.09, 0.39, 3.57, 1.89, 1.32, -0.04, -1.00, 0.03, -0.03, -1.00, 0.05, 
891, 2.11, 1.04, 0.39, 3.62, 1.91, 1.10, -0.04, -1.01, 0.03, -0.02, -1.02, 0.04, 
897, 1.77, 0.93, 0.35, 3.94, 1.95, 1.37, -0.04, -1.02, 0.03, -0.02, -1.03, 0.04, 
905, 1.83, 0.87, 0.58, 4.09, 1.92, 1.14, -0.04, -1.04, 0.03, -0.02, -1.04, 0.03, 
911, 1.82, 0.88, 0.56, 3.92, 2.00, 1.27, -0.04, -1.04, 0.03, -0.02, -1.04, 0.03, 
919, 1.58, 0.64, 0.66, 3.75, 1.79, 1.24, -0.04, -1.04, 0.03, -0.02, -1.04, 0.03, 
927, 1.55, 0.54, 0.55, 3.47, 1.60, 1.21, -0.04, -1.04, 0.04, -0.02, -1.04, 0.02, 
933, 1.65, 0.85, 0.81, 3.52, 1.77, 1.22, -0.04, -1.04, 0.04, -0.02, -1.04, 0.02, 
941, 1.64, 0.95, 0.55, 3.60, 1.73, 1.27, -0.04, -1.04, 0.04, -0.02, -1.04, 0.02, 
947, 1.84, 0.97, 0.66, 3.61, 1.72, 1.26, -0.04, -1.04, 0.03, -0.02, -1.04, 0.02, 
955, 1.67, 1.03, 0.53, 3.06, 2.08, 1.22, -0.04, -1.04, 0.03, -0.02, -1.05, 0.02, 
963, 1.86, 0.88, 0.68, 3.09, 1.79, 0.97, -0.04, -1.05, 0.04, -0.02, -1.05, 0.02, 
969, 1.71, 0.91, 0.53, 3.33, 1.77, 0.88, -0.04, -1.05, 0.03, -0.02, -1.05, 0.03, 
977, 1.64, 0.76, 0.70, 3.45, 1.79, 0.82, -0.04, -1.03, 0.03, -0.02, -1.04, 0.03, 
983, 2.00, 0.90, 0.53, 2.81, 1.39, 1.12, -0.04, -1.03, 0.03, -0.02, -1.03, 0.04, 
991, 1.78, 1.02, 0.53, 2.77, 1.58, 1.08, -0.04, -1.01, 0.03, -0.02, -1.01, 0.04, 
999, 1.44, 0.53, 0.65, 3.10, 1.76, 1.15, -0.04, -1.01, 0.03, -0.03, -1.00, 0.04, 
1005, 1.65, 0.64, 0.63, 3.35, 1.56, 0.81, -0.04, -1.00, 0.03, -0.03, -1.00, 0.04, 
1013, 1.62, 0.74, 0.57, 3.33, 1.95, 1.09, -0.04, -1.00, 0.03, -0.03, -1.00, 0.04, 
1020, 1.44, 1.05, 0.78, 3.64, 1.88, 0.87, -0.04, -1.01, 0.03, -0.03, -1.01, 0.04, 
1028, 1.85, 0.92, 0.60, 3.72, 2.08, 0.98, -0.04, -1.02, 0.04, -0.02, -1.02, 0.04, 
1035, 1.57, 0.81, 0.69, 3.87, 1.86, 0.98, -0.04, -1.03, 0.05, -0.02, -1.03, 0.04, 
1041, 1.51, 1.10, 0.52, 3.87, 1.87, 1.22, -0.04, -1.04, 0.03, -0.02, -1.04, 0.04, 
1050, 1.46, 0.83, 0.48, 3.78, 2.15, 1.00, -0.04, -1.04, 0.04, -0.02, -1.04, 0.03, 
1056, 1.68, 0.74, 0.56, 3.66, 1.89, 0.91, -0.04, -1.04, 0.04, -0.02, -1.04, 0.03, 
1064, 1.59, 0.76, 0.44, 3.47, 1.73, 1.15, -0.04, -1.04, 0.04, -0.02, -1.04, 0.02, 
1072, 1.88, 0.88, 0.37, 3.75, 1.77, 1.20, -0.04, -1.04, 0.04, -0.02, -1.04, 0.02, 
1078, 1.88, 0.78, 0.30, 3.84, 1.95, 1.11, -0.04, -1.04, 0.04, -0.02, -1.04, 0.02, 
1086, 1.94, 0.99, 0.39, 3.58, 1.70, 1.07, -0.04, -1.04, 0.04, -0.02, -1.04, 0.02, 
1092, 1.84, 0.95, 0.44, 3.12, 2.00, 1.15, -0.04, -1.04, 0.03, -0.02, -1.05, 0.02, 
1101, 2.06, 1.16, 0.35, 3.03, 1.94, 1.36, -0.04, -1.04, 0.03, -0.02, -1.05, 0.03, 
1108, 1.97, 1.15, 0.11, 2.99, 1.89, 1.15, -0.04, -1.04, 0.04, -0.02, -1.04, 0.03, 
1114, 1.89, 1.22, 0.20, 3.15, 1.74, 1.31, -0.04, -1.03, 0.03, -0.02, -1.04, 0.03, 
1123, 1.79, 0.63, 0.27, 2.91, 1.87, 1.10, -0.04, -1.03, 0.03, -0.02, -1.02, 0.04, 
1129, 2.00, 0.82, 0.37, 3.13, 1.65, 0.98, -0.04, -1.01, 0.03, -0.02, -1.01, 0.04, 
1137, 1.90, 0.84, 0.10, 3.33, 1.65, 0.97, -0.04, -1.00, 0.03, -0.02, -1.00, 0.04, 
1144, 1.72, 0.69, 0.25, 3.50, 1.78, 0.93, -0.04, -1.00, 0.03, -0.03, -1.00, 0.04, 
1151, 1.86, 1.09, 0.38, 3.43, 1.65, 1.36, -0.04, -1.00, 0.03, -0.03, -1.00, 0.04, 
1159, 1.73, 0.90, 0.32, 3.81, 1.90, 1.07, -0.04, -1.01, 0.03, -0.03, -1.01, 0.04, 
1165, 1.68, 0.70, 0.37, 4.22, 1.93, 0.85, -0.04, -1.02, 0.03, -0.03, -1.03, 0.04, 
1174, 1.67, 0.69, 0.18, 4.39, 2.02, 0.92, -0.04, -1.03, 0.03, -0.03, -1.04, 0.03, 
1181, 1.19, 0.62, 0.48, 3.69, 1.86, 1.35, -0.04, -1.04, 0.03, -0.02, -1.04, 0.03, 
1187, 1.29, 0.57, 0.39, 3.64, 1.86, 1.36, -0.04, -1.04, 0.02, -0.02, -1.04, 0.03, 
1195, 1.65, 0.81, 0.33, 3.58, 1.74, 1.15, -0.04, -1.04, 0.04, -0.02, -1.04, 0.03, 
1202, 1.56, 0.63, 0.38, 3.58, 1.75, 1.02, -0.04, -1.04, 0.04, -0.02, -1.04, 0.02, 
1210, 1.48, 0.70, 0.46, 3.61, 1.88, 0.99, -0.04, -1.04, 0.03, -0.02, -1.04, 0.02, 
1217, 1.55, 0.66, 0.44, 3.45, 1.91, 1.29, -0.04, -1.04, 0.04, -0.02, -1.04, 0.02, 
1224, 1.66, 0.83, 0.56, 3.50, 1.60, 1.26, -0.04, -1.04, 0.03, -0.02, -1.04, 0.03, 
1232, 1.73, 0.80, 0.31, 3.62, 1.86, 1.05, -0.04, -1.04, 0.04, -0.02, -1.04, 0.03, 
1238, 1.73, 0.97, 0.54, 3.43, 1.77, 0.76, -0.04, -1.03, 0.03, -0.02, -1.04, 0.03, 
1247, 1.79, 1.18, 0.51, 3.66, 1.70, 0.79, -0.04, -1.03, 0.03, -0.02, -1.03, 0.03, 
1254, 1.59, 1.05, 0.69, 3.12, 1.74, 1.09, -0.04, -1.03, 0.03, -0.02, -1.03, 0.04, 
1260, 1.63, 0.77, 0.53, 3.66, 1.74, 0.76, -0.04, -1.02, 0.03, -0.02, -1.03, 0.04, 
1268, 1.74, 0.96, 0.62, 3.19, 1.96, 0.97, -0.04, -1.02, 0.03, -0.02, -1.02, 0.04, 
1275, 1.83, 0.62, 0.67, 3.00, 1.70, 0.99, -0.04, -1.01, 0.03, -0.02, -1.01, 0.04, 
1283, 1.67, 0.75, 0.61, 3.48, 1.74, 1.08, -0.04, -1.01, 0.03, -0.02, -1.01, 0.04, 
1290, 1.66, 0.79, 0.71, 3.43, 1.93, 0.99, -0.04, -1.01, 0.03, -0.02, -1.01, 0.04, 
1297, 1.79, 0.98, 0.53, 4.04, 2.00, 0.84, -0.04, -1.03, 0.03, -0.02, -1.02, 0.04, 
1305, 1.75, 0.70, 0.45, 3.95, 2.06, 1.02, -0.04, -1.02, 0.03, -0.02, -1.02, 0.04, 
1311, 1.69, 1.02, 0.62, 3.74, 2.14, 1.14, -0.04, -1.03, 0.03, -0.02, -1.03, 0.04, 
1319, 1.61, 0.70, 0.73, 3.47, 2.16, 0.95, -0.04, -1.03, 0.03, -0.02, -1.03, 0.03, 
1327, 1.96, 0.81, 0.78, 3.80, 1.98, 0.88, -0.04, -1.04, 0.04, -0.02, -1.04, 0.03, 
1333, 1.88, 1.08, 0.45, 3.59, 2.07, 1.17, -0.04, -1.04, 0.03, -0.02, -1.04, 0.02, 
1341, 1.72, 0.95, 0.80, 3.61, 2.06, 1.04, -0.04, -1.04, 0.04, -0.02, -1.04, 0.03, 
1348, 1.84, 0.81, 0.54, 3.26, 1.83, 1.23, -0.04, -1.04, 0.03, -0.02, -1.05, 0.02, 
1356, 2.02, 1.03, 0.69, 3.32, 1.91, 1.11, -0.04, -1.04, 0.03, -0.02, -1.04, 0.02, 
1363, 2.00, 0.70, 0.62, 3.61, 1.61, 1.06, -0.04, -1.04, 0.03, -0.02, -1.04, 0.03, 
1370, 1.76, 0.95, 0.41, 3.65, 1.94, 0.85, -0.04, -1.04, 0.04, -0.02, -1.04, 0.03, 
1378, 1.75, 1.17, 0.62, 3.61, 1.79, 1.15, -0.04, -1.03, 0.05, -0.02, -1.03, 0.03, 
1384, 1.87, 0.82, 0.49, 3.21, 1.75, 0.89, -0.04, -1.03, 0.03, -0.03, -1.03, 0.03, 
1392, 2.12, 0.75, 0.56, 2.97, 1.84, 1.04, -0.04, -1.02, 0.03, -0.03, -1.02, 0.04, 
1400, 1.75, 0.86, 0.45, 3.39, 1.86, 1.02, -0.04, -1.02, 0.03, -0.02, -1.02, 0.04, 
1406, 1.86, 1.04, 0.52, 3.31, 1.76, 1.03, -0.04, -1.02, 0.03, -0.02, -1.02, 0.04, 
1414, 1.84, 0.87, 0.47, 3.92, 1.92, 1.15, -0.04, -1.01, 0.03, -0.03, -1.02, 0.04, 
1421, 1.61, 0.81, 0.65, 3.57, 1.87, 1.12, -0.04, -1.02, 0.03, -0.02, -1.02, 0.04, 
1429, 1.51, 0.79, 0.46, 3.46, 1.71, 1.17, -0.04, -1.02, 0.03, -0.02, -1.02, 0.04, 
1436, 1.64, 0.95, 0.46, 3.78, 1.92, 1.38, -0.04, -1.02, 0.03, -0.02, -1.02, 0.04, 
1442, 1.48, 0.76, 0.74, 3.19, 2.01, 1.41, -0.04, -1.02, 0.03, -0.02, -1.02, 0.04, 
1451, 1.67, 0.63, 0.69, 3.58, 1.86, 1.41, -0.04, -1.03, 0.03, -0.02, -1.03, 0.03, 
1457, 1.66, 0.86, 0.59, 3.50, 1.71, 1.27, -0.04, -1.03, 0.04, -0.02, -1.03, 0.03, 
1465, 1.44, 0.94, 0.74, 3.61, 1.79, 1.22, -0.04, -1.03, 0.04, -0.02, -1.04, 0.03, 
1473, 1.76, 0.99, 0.56, 3.83, 1.88, 1.15, -0.04, -1.04, 0.03, -0.02, -1.04, 0.03, 
1479, 1.63, 0.81, 0.63, 3.61, 1.73, 1.13, -0.04, -1.04, 0.03, -0.02, -1.04, 0.03, 
1487, 1.86, 0.80, 0.88, 3.90, 1.85, 1.09, -0.04, -1.04, 0.04, -0.02, -1.04, 0.02, 
1493, 1.77, 1.00, 0.78, 3.29, 1.82, 1.10, -0.04, -1.04, 0.04, -0.02, -1.05, 0.02, 
1502, 1.63, 0.86, 0.74, 3.33, 2.04, 1.13, -0.04, -1.04, 0.03, -0.02, -1.04, 0.03, 
1509, 1.77, 0.93, 0.92, 3.36, 1.87, 0.98, -0.04, -1.04, 0.03, -0.02, -1.04, 0.03, 
1515, 1.80, 0.74, 0.89, 3.24, 1.76, 0.86, -0.04, -1.03, 0.04, -0.02, -1.03, 0.03, 
1524, 1.68, 0.95, 0.84, 3.47, 1.88, 0.88, -0.04, -1.02, 0.04, -0.02, -1.02, 0.03, 
1530, 2.12, 1.03, 0.94, 3.17, 1.63, 0.94, -0.04, -1.02, 0.05, -0.02, -1.02, 0.04, 
1538, 2.00, 1.09, 1.15, 3.34, 1.74, 0.76, -0.04, -1.01, 0.03, -0.02, -1.01, 0.04, 
1545, 1.93, 0.89, 0.77, 3.40, 1.93, 0.84, -0.04, -1.02, 0.03, -0.02, -1.02, 0.04, 
1552, 1.79, 0.83, 0.82, 3.35, 2.00, 1.06, -0.04, -1.02, 0.03, -0.02, -1.02, 0.04, 
1560, 1.93, 0.91, 0.93, 3.30, 1.86, 0.99, -0.04, -1.02, 0.03, -0.02, -1.02, 0.04, 
1566, 1.83, 1.05, 0.99, 3.53, 1.89, 1.15, -0.04, -1.02, 0.03, -0.02, -1.02, 0.04, 
1575, 1.62, 0.79, 0.91, 3.35, 1.78, 1.04, -0.04, -1.02, 0.03, -0.02, -1.03, 0.04, 
1582, 1.51, 0.88, 0.92, 4.19, 1.87, 0.97, -0.04, -1.03, 0.03, -0.02, -1.03, 0.03, 
1588, 1.61, 0.68, 0.87, 3.47, 1.96, 1.19, -0.04, -1.03, 0.04, -0.02, -1.03, 0.03, 
1597, 1.53, 1.02, 0.95, 3.48, 1.90, 1.36, -0.04, -1.03, 0.03, -0.02, -1.03, 0.03, 
